DEBUG 2022-05-15 17:28:47,877 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 17:28:51,034 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 17:29:04,722 : запрос файла имя: Vika.jpg  
DEBUG 2022-05-15 17:29:04,723 : запрос содержание поста: йцц  
DEBUG 2022-05-15 17:29:04,725 : загрузка из json файла posts.json  
DEBUG 2022-05-15 17:39:05,661 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 17:39:19,348 : запрос файла имя: Vika.jpg  
DEBUG 2022-05-15 17:39:19,349 : запрос содержание поста: Тест  
DEBUG 2022-05-15 17:39:19,350 : загрузка из json файла posts.json  
DEBUG 2022-05-15 17:39:19,354 : Сохрание файла uploads/images/Vika.jpg  
DEBUG 2022-05-15 17:39:19,354 : Сохрание файла uploads/images/Vika.jpg  
DEBUG 2022-05-15 18:56:50,072 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 18:56:52,447 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 18:56:56,104 : запрос файла имя:   
DEBUG 2022-05-15 18:56:56,104 : запрос содержание поста:   
DEBUG 2022-05-15 18:56:56,104 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:25:21,734 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:25:26,808 : запрос файла имя:   
DEBUG 2022-05-15 19:25:26,808 : запрос содержание поста:   
DEBUG 2022-05-15 19:25:26,810 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:25:32,715 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:25:55,809 : запрос файла имя: Olga.jpg  
DEBUG 2022-05-15 19:25:55,810 : запрос содержание поста:   
DEBUG 2022-05-15 19:25:55,811 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:26:05,412 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:26:15,927 : запрос файла имя: Olga.jpg  
DEBUG 2022-05-15 19:26:15,928 : запрос содержание поста: dfb  
DEBUG 2022-05-15 19:26:15,930 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:26:19,668 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:28:15,846 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:28:25,438 : запрос файла имя: Olga.jpg  
DEBUG 2022-05-15 19:28:25,438 : запрос содержание поста:   
DEBUG 2022-05-15 19:28:25,440 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:28:25,444 : Сохрание файла uploads/images/Olga.jpg  
DEBUG 2022-05-15 19:28:25,444 : Добавление поста в json файл  
DEBUG 2022-05-15 19:29:04,939 : Вход на главную страницу  
DEBUG 2022-05-15 19:29:08,333 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:29:09,719 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:29:11,587 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:29:19,943 : запрос файла имя: Vika.jpg  
DEBUG 2022-05-15 19:29:19,944 : запрос содержание поста:   
DEBUG 2022-05-15 19:29:19,945 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:29:23,949 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:29:30,019 : запрос файла имя:   
DEBUG 2022-05-15 19:29:30,020 : запрос содержание поста:   
DEBUG 2022-05-15 19:29:30,021 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:29:30,022 : картинка с расширением   
DEBUG 2022-05-15 19:29:37,421 : пеерход на старницу добавление поста  
DEBUG 2022-05-15 19:29:54,281 : запрос файла имя: Olga.jpg  
DEBUG 2022-05-15 19:29:54,283 : запрос содержание поста: Тест  
DEBUG 2022-05-15 19:29:54,284 : загрузка из json файла posts.json  
DEBUG 2022-05-15 19:29:54,288 : Сохрание файла uploads/images/Olga.jpg  
DEBUG 2022-05-15 19:29:54,288 : Добавление поста в json файл  
